Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.001954793930053711,0.0008306503295898438,0.0011174678802490234,0.9302888928763682,0.7447686172234177,0.7447686172234178,0.6198022352555985,0.5782698267099717,0.6538975501113585,0.5455626579455924,0.92295130984107,0.7003093650577881,2.407737560739451,0.6653305571364984,0.9773635153129161,0.9336536301991538,0.9302888928763682,0.9,0.5833333333333334,0.5833333333333334,0.26035502958579954,0.4485125042931808,0.2857142857142857,0.19999999999999996,0.9003928841582375,0.408248290463863,3.4538776394910595,0.38685897164933153,1.0,0.910204081632653,0.9,HardSamplingClassifier
2,0.0032401084899902344,0.002431631088256836,0.0005059242248535156,0.9302951466762358,0.7447687084537604,0.7447687084537604,0.6198055952437967,0.578279879229838,0.6538975501113585,0.5455626579455924,0.9229589044439303,0.7003094290599752,2.4075215620348005,0.6653332683892547,0.9773635153129161,0.9336591133843017,0.9302951466762358,0.9,0.5833333333333334,0.5833333333333334,0.26035502958579954,0.4485125042931808,0.2857142857142857,0.19999999999999996,0.9003928841582375,0.408248290463863,3.4538776394910595,0.38685897164933153,1.0,0.910204081632653,0.9,HardSamplingClassifier
3,0.0019953250885009766,0.0012896060943603516,0.00043702125549316406,0.9302116971654109,0.7446043945649835,0.7446043945649835,0.619480752749604,0.5780450000187682,0.6536064113980409,0.545238448967464,0.9228710662461169,0.70007517267976,2.41040380592006,0.665077123719989,0.9773635153129161,0.9335858390045706,0.9302116971654109,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401663,0.3695642136439612,1.0,0.9023469387755102,0.89,HardSamplingClassifier
4,0.0006914138793945312,0.00022077560424804688,0.0002849102020263672,0.9302179567674231,0.7446044857764262,0.7446044857764262,0.6194841151395097,0.5780550558079821,0.6536064113980409,0.545238448967464,0.9228786669076532,0.7000752366472776,2.4101876068164705,0.6650798366394338,0.9773635153129161,0.9335913262190337,0.9302179567674231,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401663,0.3695642136439612,1.0,0.9023469387755102,0.89,HardSamplingClassifier
5,0.0007231235504150391,0.00023293495178222656,0.0003113746643066406,0.9302242152466368,0.7446045769689748,0.7446045769689748,0.6194874768668897,0.5780651101602654,0.6536064113980409,0.545238448967464,0.9228862660813533,0.7000753006015384,2.4099714464929893,0.6650825490261428,0.9773635153129161,0.9335968125395795,0.9302242152466368,0.89,0.5384615384615384,0.5769230769230769,0.2403314917127069,0.4307170782773865,0.2666666666666667,0.18518518518518517,0.8911199760325949,0.3922322702763681,3.7992654034401663,0.3695642136439612,1.0,0.9023469387755102,0.89,HardSamplingClassifier
6,0.003447294235229492,0.002498149871826172,0.0006830692291259766,0.9301407945475743,0.7444404827511721,0.7444404827511721,0.6191629249554076,0.5778304857734575,0.6533155318202047,0.5449146250927989,0.9227984699089984,0.6998412791005649,2.4128526952552902,0.6648266591622722,0.9773635153129161,0.9335235759870145,0.9301407945475743,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.144653167389273,0.35406839944688717,1.0,0.8946938775510205,0.88,HardSamplingClassifier
7,0.0008695125579833984,0.00029921531677246094,0.000385284423828125,0.9301470588235294,0.7444405739248324,0.7444405739248324,0.6191662890801994,0.5778405433868663,0.6533155318202047,0.5449146250927989,0.9228060751333771,0.6998413430201994,2.412636334719489,0.6648293732127343,0.9773635153129161,0.9335290663309413,0.9301470588235294,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.144653167389273,0.35406839944688717,1.0,0.8946938775510205,0.88,HardSamplingClassifier
8,0.0009551048278808594,0.000316619873046875,0.00046181678771972656,0.9301533219761499,0.7444406650796104,0.7444406650796104,0.6191696525423054,0.5778505995635256,0.6533155318202047,0.5449146250927989,0.9228136788695318,0.6998414069265899,2.4124200129823135,0.6648320867303799,0.9773635153129161,0.9335345557807924,0.9301533219761499,0.88,0.5714285714285714,0.5714285714285714,0.22279792746113983,0.4143532857487894,0.25,0.17241379310344823,0.8819884412147723,0.3779644730092272,4.144653167389273,0.35406839944688717,1.0,0.8946938775510205,0.88,HardSamplingClassifier
9,0.0013413429260253906,0.0003783702850341797,0.0007851123809814453,0.9300699300699301,0.7442767900925596,0.7442767900925595,0.6188453908397457,0.577616229485091,0.6530249110320285,0.5445911856358511,0.9227259246894831,0.6996076199125748,2.415300267275117,0.6645764512496124,0.9773635153129161,0.9334613570228542,0.9300699300699301,0.87,0.5333333333333333,0.5666666666666667,0.20731707317073184,0.3992074375859366,0.23529411764705882,0.16129032258064513,0.8730027323156987,0.36514837167011077,4.49004093133838,0.3400680204068024,1.0,0.8872448979591837,0.87,HardSamplingClassifier
10,0.0010213851928710938,0.00035858154296875,0.00046944618225097656,0.929986553115195,0.7441131338972139,0.7441131338972138,0.6185214128683143,0.5773821038372438,0.6527345486883059,0.5442681299125018,0.922638197419085,0.6993740670367918,2.4181800051619513,0.6643210653481821,0.9773635153129161,0.9333881862141663,0.929986553115195,0.86,0.5625,0.5625,0.19354838709677452,0.385110454548629,0.2222222222222222,0.15151515151515152,0.8641674148396142,0.3535533905932738,4.835428695287487,0.32732683535398854,1.0,0.88,0.86,HardSamplingClassifier
11,0.0009965896606445312,0.00035691261291503906,0.00046372413635253906,0.9299928289709574,0.7441132250331152,0.7441132250331152,0.6185247817761313,0.5773921679488254,0.6527345486883059,0.5442681299125018,0.9226458147233272,0.6993741308872761,2.417963244673859,0.664323782718075,0.9773635153129161,0.9333936845882032,0.9299928289709574,0.86,0.5625,0.5625,0.19354838709677452,0.385110454548629,0.2222222222222222,0.15151515151515152,0.8641674148396142,0.3535533905932738,4.835428695287487,0.32732683535398854,1.0,0.88,0.86,HardSamplingClassifier
12,0.0014061927795410156,0.0004012584686279297,0.0008213520050048828,0.9299991037017119,0.7442833428954015,0.7442833428954017,0.6188254188741152,0.5775472148169333,0.6530430919591292,0.5446058091286307,0.9226393759678658,0.6996169035953834,2.417746523042177,0.6645662846785613,0.9773936170212766,0.9334016699150435,0.9299991037017119,0.87,0.5625,0.59375,0.2793791574279379,0.4269617932427159,0.3157894736842105,0.22388059701492538,0.8702497213977315,0.4330127018922193,4.49004093133838,0.4029530171380016,1.0,0.8874226804123712,0.87,HardSamplingClassifier
13,0.001222372055053711,0.0004439353942871094,0.0005948543548583984,0.9300053773077612,0.7444532339338717,0.7444532339338717,0.6191255287265622,0.5777020198166687,0.6533510874389703,0.5449429883014956,0.9226329390536435,0.6998592685599929,2.4175298402564587,0.6648083757567678,0.9774236387782205,0.9334096484580191,0.9300053773077612,0.87,0.5882352941176471,0.6176470588235294,0.33808553971486766,0.447726647066199,0.38095238095238093,0.2777777777777778,0.8674485241806812,0.485071250072666,4.49004093133838,0.45103367119209586,1.0,0.8876041666666667,0.87,HardSamplingClassifier
14,0.0011663436889648438,0.0004248619079589844,0.0005674362182617188,0.9300116497894076,0.7444533250509023,0.7444533250509024,0.6191288985988994,0.5777120824270011,0.6533510874389703,0.5449429883014956,0.9226405571455765,0.6998593324415328,2.417313196306261,0.6648110942300322,0.9774236387782205,0.933415143521355,0.9300116497894076,0.87,0.5882352941176471,0.6176470588235294,0.33808553971486766,0.447726647066199,0.38095238095238093,0.2777777777777778,0.8674485241806812,0.485071250072666,4.49004093133838,0.45103367119209586,1.0,0.8876041666666667,0.87,HardSamplingClassifier
15,0.0010521411895751953,0.0003960132598876953,0.0004775524139404297,0.9300179211469534,0.7444534161490682,0.7444534161490683,0.6191322678077019,0.5777221436003691,0.6533510874389703,0.5449429883014956,0.9226481737474926,0.6998593963098406,2.417096591181144,0.6648138121698444,0.9774236387782205,0.9334206376906794,0.9300179211469534,0.87,0.5882352941176471,0.6176470588235294,0.33808553971486766,0.447726647066199,0.38095238095238093,0.2777777777777778,0.8674485241806812,0.485071250072666,4.49004093133838,0.45103367119209586,1.0,0.8876041666666667,0.87,HardSamplingClassifier
16,0.0011627674102783203,0.00043582916259765625,0.0005457401275634766,0.9300241913807007,0.7446230808170675,0.7446230808170674,0.6194318534219431,0.5778767073435911,0.6536585365853659,0.5452796685409884,0.9226417409503267,0.7001013546449865,2.4168800248706717,0.6650554950882469,0.9774535809018567,0.9334286070597919,0.9300241913807007,0.87,0.6111111111111112,0.6388888888888888,0.38679245283018887,0.4642647963093255,0.4347826086956522,0.3246753246753247,0.8646006831479698,0.5270462766947299,4.49004093133838,0.48965914866501276,1.0,0.8877894736842106,0.87,HardSamplingClassifier
17,0.0010704994201660156,0.00040984153747558594,0.00048041343688964844,0.9300304604909514,0.7446231718963744,0.7446231718963744,0.6194352227779328,0.5778867670471506,0.6536585365853659,0.5452796685409884,0.9226493571999869,0.7001014185221429,2.416663497364412,0.6650582133107749,0.9774535809018567,0.9334340991292053,0.9300304604909514,0.88,0.6470588235294118,0.6470588235294118,0.40886699507389185,0.4812208213458945,0.45454545454545453,0.34246575342465757,0.8742137391904699,0.5423261445466404,4.144653167389273,0.506918084380944,1.0,0.895157894736842,0.88,HardSamplingClassifier
18,0.0011730194091796875,0.00042700767517089844,0.0005409717559814453,0.9300367284780077,0.7446232629568282,0.7446232629568282,0.6194385914706135,0.5778968253143344,0.6536585365853659,0.5452796685409884,0.9226569719602031,0.7001014823860712,2.4164470086519367,0.6650609310000049,0.9774535809018567,0.9334395903053317,0.9300367284780077,0.88,0.6470588235294118,0.6470588235294118,0.40886699507389185,0.4812208213458945,0.45454545454545453,0.34246575342465757,0.8742137391904699,0.5423261445466404,4.144653167389273,0.506918084380944,1.0,0.895157894736842,0.88,HardSamplingClassifier
