Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.004097938537597656,0.0037412643432617188,0.00034880638122558594,0.867056863331482,0.6558201481152041,0.6558201481152041,0.3523818081571398,0.14169137580878932,0.42542191366003174,0.38848571505651924,0.8557358695635661,0.5889106037839447,4.591731762808931,0.35814046006705386,0.5055292259083728,0.8523720809819912,0.867056863331482,0.99,0.9943181818181818,0.9943181818181819,0.9542961608775137,0.8583897100474658,0.9600000000000001,0.9836065573770493,0.9872112004740947,0.9943019479194254,0.3453957599233771,0.9552944114708369,0.9230769230769231,0.9907692307692308,0.99,ensemble_SRPClassifier
2,0.0016231536865234375,0.0009756088256835938,0.00035071372985839844,0.8670579992480946,0.6558204223578914,0.6558204223578914,0.35238251157182493,0.14169219801816801,0.42542191366003174,0.38848571505651924,0.8557371837990659,0.5889107747947605,4.591692529310154,0.35814116215906733,0.5055292259083728,0.8523733097647381,0.8670579992480946,0.99,0.9943181818181818,0.9943181818181819,0.9542961608775137,0.8583897100474658,0.9600000000000001,0.9836065573770493,0.9872112004740947,0.9943019479194254,0.3453957599233771,0.9552944114708369,0.9230769230769231,0.9907692307692308,0.99,ensemble_SRPClassifier
3,0.0005288124084472656,8.058547973632812e-05,0.0002307891845703125,0.8670505908387945,0.6558087167019745,0.6558087167019745,0.35236329976310937,0.1416823023874575,0.4254062038404727,0.3884647549165071,0.8557297220748332,0.5888920026361152,4.591948406373524,0.35812397826924874,0.5055292259083728,0.8523629191683444,0.8670505908387945,0.98,0.9177718832891246,0.95579133510168,0.9115826702033598,0.7674453973584826,0.9230769230769231,0.9230769230769231,0.9743388321550143,0.9552313036648905,0.690783523872484,0.9115826702033598,0.9230769230769231,0.98,0.98,ensemble_SRPClassifier
4,0.0006039142608642578,9.560585021972656e-05,0.0002751350402832031,0.8670517267895897,0.65580899093925,0.65580899093925,0.35236400319359745,0.14168312459040555,0.4254062038404727,0.3884647549165071,0.8557310363366467,0.5888921736380558,4.591909171694135,0.3581246803774138,0.5055292259083728,0.8523641479987243,0.8670517267895897,0.98,0.9177718832891246,0.95579133510168,0.9115826702033598,0.7674453973584826,0.9230769230769231,0.9230769230769231,0.9743388321550143,0.9552313036648905,0.690783523872484,0.9115826702033598,0.9230769230769231,0.98,0.98,ensemble_SRPClassifier
5,0.0005750656127929688,9.775161743164062e-05,0.00025200843811035156,0.8670528627209734,0.6558092651711142,0.655809265171114,0.3523647066105362,0.1416839467832195,0.4254062038404727,0.3884647549165071,0.8557323505749831,0.5888923446365724,4.5918699376852,0.3581253824720199,0.5055292259083728,0.852365376808723,0.8670528627209734,0.98,0.9177718832891246,0.95579133510168,0.9115826702033598,0.7674453973584826,0.9230769230769231,0.9230769230769231,0.9743388321550143,0.9552313036648905,0.690783523872484,0.9115826702033598,0.9230769230769231,0.98,0.98,ensemble_SRPClassifier
6,0.000652313232421875,8.988380432128906e-05,0.0003554821014404297,0.8670454545454546,0.6557975610075992,0.6557975610075993,0.3523454962677438,0.14167405218316353,0.4253904951811233,0.3884437970381161,0.855724889191539,0.5888735742620593,4.592125806674069,0.3581082001635512,0.5055292259083728,0.8523549866665099,0.8670454545454546,0.97,0.9227574750830565,0.9227574750830565,0.8715753424657533,0.7103901622380288,0.888888888888889,0.8695652173913044,0.961578147958883,0.9204216858235247,1.0361712878215907,0.8723750416671139,0.9230769230769231,0.9694606542882405,0.97,ensemble_SRPClassifier
7,0.0006186962127685547,0.00014901161193847656,0.00025343894958496094,0.8670465905110175,0.655797835234052,0.655797835234052,0.35234619970048,0.14167487436954507,0.4253904951811233,0.3884437970381161,0.8557262034561844,0.5888737452517017,4.592086571484634,0.35810890227430564,0.5055292259083728,0.8523562155241352,0.8670465905110175,0.97,0.9227574750830565,0.9227574750830565,0.8715753424657533,0.7103901622380288,0.888888888888889,0.8695652173913044,0.961578147958883,0.9204216858235247,1.0361712878215907,0.8723750416671139,0.9230769230769231,0.9694606542882405,0.97,ensemble_SRPClassifier
8,0.0005576610565185547,8.106231689453125e-05,0.0002675056457519531,0.8670477264571692,0.6557981094550934,0.6557981094550934,0.35234690311966904,0.1416756965457926,0.4253904951811233,0.3884437970381161,0.8557275176973538,0.5888739162379202,4.592047336965646,0.35810960437150147,0.5055292259083728,0.8523574443613796,0.8670477264571692,0.97,0.9227574750830565,0.9227574750830565,0.8715753424657533,0.7103901622380288,0.888888888888889,0.8695652173913044,0.961578147958883,0.9204216858235247,1.0361712878215907,0.8723750416671139,0.9230769230769231,0.9694606542882405,0.97,ensemble_SRPClassifier
9,0.0004534721374511719,7.700920104980469e-05,0.00019788742065429688,0.8670403185154174,0.6557864067836954,0.6557864067836954,0.35232769424264526,0.14166580297620912,0.42537478768185505,0.3884228414209802,0.8557200566546723,0.5888551476472559,4.592303197880505,0.35809242364413735,0.5055292259083728,0.8523470546733116,0.8670403185154174,0.96,0.8611764705882353,0.8941176470588236,0.8340248962655601,0.6650303480616121,0.8571428571428571,0.8219178082191783,0.9489342111219776,0.8891502883619381,1.3815590517706975,0.8369117531564388,0.9230769230769231,0.9591511936339523,0.96,ensemble_SRPClassifier
10,0.0004706382751464844,7.462501525878906e-05,0.0002295970916748047,0.8670329107002495,0.6557747056041288,0.6557747056041288,0.3523084867725569,0.14165591042952352,0.4253590813425396,0.3884018880647337,0.8557125958531759,0.5888363808510549,4.592559054423318,0.35807524443823013,0.5055292259083728,0.8523366653033625,0.8670329107002495,0.95,0.8690476190476191,0.8690476190476191,0.7987117552334941,0.6267417399487529,0.8275862068965517,0.7792207792207793,0.9364123192375947,0.8608550566567107,1.7269468157198045,0.8046013100119357,0.9230769230769231,0.9490716180371354,0.95,ensemble_SRPClassifier
